(initial) Array:
 0, 36,  8, 53, 66, 27, 96, 86, 53, 51, 
75,  0, 89, 86, 67, 71, 64, 82, 29, 66, 
98, 76,  0, 53,  7, 14, 32, 48, 40, 41, 
52, 55, 97,  0,  9, 91,  3, 61, 57, 27, 
57, 41, 79,  9,  0, 16, 69, 92, 80, 40, 
56, 60, 67, 21, 57,  0, 43, 71, 61, 54, 
 3,  9, 94, 43, 61, 47,  0, 38, 69, 36, 
40, 28, 91, 64, 84, 30, 44,  0, 90, 46, 
11, 82, 24, 48, 37, 84, 15, 57,  0, 39, 
58, 28, 99, 12, 28,  8,  4, 68, 66,  0, 

(sequential) Array:
 0, 36,  8, 24, 15, 22, 27, 56, 48, 49, 
40,  0, 48, 64, 55, 62, 44, 82, 29, 66, 
22, 28,  0, 16,  7, 14, 19, 48, 40, 41, 
 6, 12, 14,  0,  9, 25,  3, 41, 41, 27, 
15, 21, 23,  9,  0, 16, 12, 50, 50, 36, 
27, 33, 35, 21, 30,  0, 24, 62, 61, 48, 
 3,  9, 11, 27, 18, 25,  0, 38, 38, 36, 
40, 28, 48, 51, 55, 30, 44,  0, 57, 46, 
11, 24, 19, 35, 26, 33, 15, 53,  0, 39, 
 7, 13, 15, 12, 21,  8,  4, 42, 42,  0, 

(parallel) Array:
 0, 36,  8, 24, 15, 22, 27, 56, 48, 49, 
40,  0, 48, 64, 55, 62, 44, 82, 29, 66, 
22, 28,  0, 16,  7, 14, 19, 48, 40, 41, 
 6, 12, 14,  0,  9, 25,  3, 41, 41, 27, 
15, 21, 23,  9,  0, 16, 12, 50, 50, 36, 
27, 33, 35, 21, 30,  0, 24, 62, 61, 48, 
 3,  9, 11, 27, 18, 25,  0, 38, 38, 36, 
40, 28, 48, 51, 55, 30, 44,  0, 57, 46, 
11, 24, 19, 35, 26, 33, 15, 53,  0, 39, 
 7, 13, 15, 12, 21,  8,  4, 42, 42,  0, 
